,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
7217,25-29,rural,4,public tap/standpipe,5.0,pit latrine with slab,no,no,60.0,3,0,5
7218,20-24,rural,4,tube well or borehole,0.0,pit latrine with slab,no,no,35.0,0,0,2
7219,25-29,rural,4,tube well or borehole,10.0,pit latrine without slab/open pit,no,no,25.0,0,0,3
7220,40-44,rural,9,tube well or borehole,60.0,pit latrine with slab,no,yes,37.0,0,0,3
7221,30-34,rural,9,tube well or borehole,60.0,pit latrine with slab,no,yes,37.0,0,1,7
7222,35-39,rural,7,tube well or borehole,6.0,pit latrine with slab,no,no,42.0,1,1,7
7223,35-39,rural,3,tube well or borehole,20.0,pit latrine with slab,no,no,23.0,0,0,3
7224,15-19,rural,4,tube well or borehole,10.0,pit latrine with slab,no,no,29.0,1,0,3
7225,30-34,rural,6,tube well or borehole,6.0,pit latrine with slab,no,no,40.0,0,0,4
7226,30-34,rural,6,tube well or borehole,10.0,ventilated improved pit latrine (vip),no,no,40.0,2,3,10
7227,15-19,rural,6,tube well or borehole,10.0,ventilated improved pit latrine (vip),no,no,40.0,0,0,0
7228,40-44,rural,7,public tap/standpipe,15.0,pit latrine with slab,no,yes,36.0,0,1,8
7229,45-49,rural,7,public tap/standpipe,6.0,pit latrine with slab,no,no,45.0,1,0,7
7230,35-39,rural,6,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,42.0,1,2,6
7231,40-44,rural,1,public tap/standpipe,10.0,pit latrine with slab,no,no,40.0,4,2,10
7232,40-44,rural,6,tube well or borehole,0.0,pit latrine with slab,no,yes,45.0,1,0,7
7233,35-39,rural,7,public tap/standpipe,4.0,pit latrine with slab,no,yes,55.0,0,1,8
7234,25-29,rural,7,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,37.0,3,0,5
7235,45-49,rural,7,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,37.0,1,1,9
7236,25-29,rural,5,tube well or borehole,6.0,pit latrine with slab,no,no,40.0,0,0,1
7237,15-19,rural,5,tube well or borehole,6.0,pit latrine with slab,no,no,40.0,0,0,0
7238,20-24,rural,6,public tap/standpipe,2.0,pit latrine with slab,no,yes,32.0,0,0,3
7239,35-39,rural,5,public tap/standpipe,6.0,pit latrine with slab,no,no,45.0,0,0,5
7240,40-44,rural,11,public tap/standpipe,5.0,pit latrine with slab,no,no,65.0,0,0,5
7241,35-39,rural,11,public tap/standpipe,5.0,pit latrine with slab,no,no,65.0,1,0,8
7242,45-49,rural,4,tube well or borehole,60.0,pit latrine without slab/open pit,no,yes,25.0,0,0,3
7243,25-29,rural,7,public tap/standpipe,6.0,pit latrine with slab,no,no,24.0,1,0,2
7244,40-44,rural,7,protected well,0.0,ventilated improved pit latrine (vip),no,yes,37.0,0,0,6
7245,35-39,rural,8,protected well,20.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,5
7246,30-34,rural,6,unprotected well,10.0,pit latrine without slab/open pit,no,yes,40.0,1,0,7
7247,25-29,rural,6,tube well or borehole,20.0,pit latrine without slab/open pit,no,no,38.0,0,0,4
7248,25-29,rural,4,protected well,20.0,ventilated improved pit latrine (vip),no,no,33.0,0,1,3
7249,25-29,rural,2,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,25.0,0,0,0
7250,25-29,rural,3,tube well or borehole,25.0,ventilated improved pit latrine (vip),no,no,27.0,0,0,2
7251,40-44,rural,4,tube well or borehole,25.0,pit latrine without slab/open pit,no,yes,43.0,0,0,6
7252,25-29,rural,3,unprotected well,30.0,ventilated improved pit latrine (vip),no,no,29.0,0,0,2
7253,15-19,rural,4,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,70.0,0,0,1
7254,35-39,rural,4,protected well,20.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,4
7255,35-39,rural,5,unprotected well,0.0,ventilated improved pit latrine (vip),no,no,42.0,0,0,5
7256,25-29,rural,3,protected well,0.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,2
7257,35-39,rural,10,unprotected well,40.0,pit latrine without slab/open pit,no,yes,45.0,0,2,7
7258,35-39,rural,10,unprotected well,40.0,pit latrine without slab/open pit,no,yes,45.0,1,2,8
7259,15-19,rural,2,protected well,20.0,pit latrine without slab/open pit,no,yes,32.0,0,0,0
7260,40-44,rural,4,protected well,20.0,ventilated improved pit latrine (vip),no,yes,42.0,0,0,9
7261,35-39,rural,5,tube well or borehole,30.0,pit latrine without slab/open pit,no,no,35.0,0,0,5
7262,30-34,rural,5,tube well or borehole,30.0,pit latrine without slab/open pit,no,yes,36.0,0,0,3
7263,20-24,rural,5,tube well or borehole,30.0,pit latrine without slab/open pit,no,yes,36.0,0,0,0
7264,25-29,rural,4,tube well or borehole,30.0,pit latrine without slab/open pit,no,yes,45.0,0,0,3
7265,35-39,rural,4,unprotected well,50.0,pit latrine with slab,no,yes,48.0,0,0,6
7266,20-24,rural,4,unprotected well,50.0,pit latrine with slab,no,yes,48.0,0,0,1
7267,15-19,rural,7,protected well,40.0,ventilated improved pit latrine (vip),no,yes,40.0,0,0,0
7268,20-24,rural,5,public tap/standpipe,6.0,pit latrine without slab/open pit,no,yes,30.0,0,0,2
7269,35-39,rural,6,protected well,10.0,pit latrine without slab/open pit,no,no,37.0,2,1,9
7270,15-19,rural,6,protected well,10.0,pit latrine without slab/open pit,no,no,37.0,0,0,0
7271,45-49,rural,5,protected well,9.0,pit latrine without slab/open pit,no,no,75.0,0,1,7
7272,40-44,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,47.0,1,1,5
7273,20-24,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,47.0,0,0,0
7274,25-29,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,47.0,1,0,3
7275,45-49,rural,8,protected well,10.0,pit latrine with slab,no,yes,58.0,0,4,5
7276,25-29,rural,8,protected well,10.0,pit latrine with slab,no,yes,58.0,0,2,5
7277,15-19,rural,6,public tap/standpipe,10.0,pit latrine without slab/open pit,no,yes,76.0,0,0,0
7278,45-49,rural,4,protected well,4.0,pit latrine with slab,no,yes,55.0,2,1,4
7279,35-39,rural,7,protected well,12.0,pit latrine without slab/open pit,no,yes,40.0,0,0,5
7280,20-24,rural,3,public tap/standpipe,6.0,pit latrine with slab,no,yes,30.0,0,0,2
7281,25-29,rural,6,public tap/standpipe,7.0,pit latrine with slab,no,no,38.0,2,3,7
7282,15-19,rural,9,public tap/standpipe,25.0,pit latrine without slab/open pit,no,yes,54.0,0,0,1
7283,25-29,rural,5,piped into dwelling,0.0,pit latrine with slab,no,no,30.0,1,1,4
7284,25-29,rural,6,public tap/standpipe,0.0,pit latrine with slab,no,yes,35.0,0,0,4
7285,35-39,rural,7,public tap/standpipe,4.0,pit latrine without slab/open pit,no,no,35.0,0,0,4
7286,25-29,rural,10,public tap/standpipe,10.0,pit latrine with slab,no,yes,51.0,0,0,3
7287,20-24,rural,10,public tap/standpipe,10.0,pit latrine with slab,no,yes,51.0,0,0,1
7288,45-49,rural,10,public tap/standpipe,10.0,pit latrine with slab,no,yes,51.0,2,2,10
7289,30-34,rural,6,protected well,7.0,pit latrine without slab/open pit,no,no,40.0,0,0,5
7290,15-19,rural,6,public tap/standpipe,10.0,pit latrine with slab,no,yes,25.0,0,0,1
7291,40-44,rural,7,public tap/standpipe,16.0,pit latrine with slab,no,no,61.0,0,0,3
7292,45-49,rural,7,public tap/standpipe,10.0,pit latrine with slab,no,yes,65.0,1,2,9
7293,45-49,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,55.0,1,3,9
7294,15-19,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,55.0,0,0,0
7295,35-39,rural,7,protected well,5.0,pit latrine with slab,no,yes,53.0,0,0,5
7296,15-19,rural,7,protected well,5.0,pit latrine with slab,no,yes,53.0,0,0,0
7297,30-34,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,55.0,0,0,4
7298,30-34,rural,8,public tap/standpipe,10.0,pit latrine without slab/open pit,no,no,55.0,1,1,6
7299,30-34,rural,9,protected well,13.0,pit latrine without slab/open pit,no,yes,31.0,0,0,4
7300,15-19,rural,9,protected well,13.0,pit latrine without slab/open pit,no,yes,31.0,0,0,1
7301,35-39,rural,8,piped to yard/plot,0.0,pit latrine without slab/open pit,no,yes,39.0,0,0,6
7302,15-19,rural,8,piped to yard/plot,0.0,pit latrine without slab/open pit,no,yes,39.0,0,0,0
7303,15-19,rural,8,piped to yard/plot,0.0,pit latrine without slab/open pit,no,yes,39.0,0,0,0
7304,25-29,rural,7,public tap/standpipe,3.0,pit latrine without slab/open pit,no,yes,30.0,0,0,3
7305,15-19,rural,7,public tap/standpipe,3.0,pit latrine without slab/open pit,no,yes,30.0,0,0,1
7306,45-49,rural,6,protected well,8.0,pit latrine without slab/open pit,no,no,63.0,0,0,5
7307,25-29,rural,5,public tap/standpipe,15.0,pit latrine without slab/open pit,no,yes,38.0,0,0,3
7308,45-49,rural,3,protected well,8.0,pit latrine without slab/open pit,no,yes,55.0,1,1,9
7309,35-39,rural,5,public tap/standpipe,13.0,pit latrine without slab/open pit,no,no,49.0,2,0,6
7310,20-24,rural,7,public tap/standpipe,14.0,pit latrine without slab/open pit,no,yes,20.0,0,0,1
7311,15-19,rural,3,tube well or borehole,15.0,pit latrine without slab/open pit,no,no,60.0,0,0,1
7312,30-34,rural,6,protected well,20.0,ventilated improved pit latrine (vip),no,no,32.0,0,0,5
7313,40-44,rural,6,protected well,20.0,ventilated improved pit latrine (vip),no,yes,70.0,1,0,4
7314,45-49,rural,5,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,2
7315,20-24,rural,5,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,1
7316,45-49,rural,3,protected well,30.0,ventilated improved pit latrine (vip),no,no,49.0,0,0,6
7317,15-19,rural,7,protected well,20.0,pit latrine without slab/open pit,no,no,76.0,0,0,0
7318,15-19,rural,7,protected well,20.0,pit latrine without slab/open pit,no,no,76.0,1,0,1
7319,20-24,rural,3,tube well or borehole,10.0,pit latrine without slab/open pit,no,no,65.0,0,0,1
7320,45-49,rural,2,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,45.0,1,0,3
7321,15-19,rural,5,protected well,20.0,no facility/bush/field,no,no,68.0,0,0,1
7322,30-34,rural,5,protected well,20.0,no facility/bush/field,no,no,68.0,0,1,4
7323,45-49,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,58.0,0,1,5
7324,15-19,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,58.0,0,0,1
7325,25-29,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine without slab/open pit,no,yes,30.0,0,0,3
7326,35-39,rural,8,tube well or borehole,5.0,pit latrine without slab/open pit,no,yes,39.0,2,0,7
7327,15-19,rural,8,tube well or borehole,5.0,pit latrine without slab/open pit,no,yes,39.0,0,0,0
7328,45-49,rural,5,protected well,20.0,ventilated improved pit latrine (vip),no,yes,62.0,1,1,7
7329,15-19,rural,5,tube well or borehole,20.0,pit latrine without slab/open pit,no,yes,60.0,0,0,0
7330,45-49,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,8
7331,20-24,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,1
7332,20-24,rural,6,protected well,30.0,ventilated improved pit latrine (vip),no,yes,63.0,0,0,1
7333,35-39,rural,3,tube well or borehole,25.0,pit latrine without slab/open pit,no,yes,52.0,1,2,5
7334,35-39,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,no,45.0,0,0,5
7335,30-34,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,37.0,0,0,4
7336,15-19,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,37.0,0,0,0
7337,30-34,rural,9,protected well,20.0,ventilated improved pit latrine (vip),no,yes,49.0,1,1,3
7338,40-44,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,46.0,0,0,3
7339,25-29,rural,6,tube well or borehole,15.0,pit latrine without slab/open pit,no,yes,46.0,0,0,3
7340,45-49,rural,8,protected well,20.0,pit latrine without slab/open pit,no,yes,48.0,0,0,7
7341,15-19,rural,8,protected well,20.0,pit latrine without slab/open pit,no,yes,48.0,0,0,0
7342,45-49,rural,11,protected well,20.0,ventilated improved pit latrine (vip),no,yes,68.0,0,1,4
7343,35-39,rural,11,protected well,20.0,ventilated improved pit latrine (vip),no,yes,68.0,1,1,5
7344,15-19,rural,11,protected well,20.0,ventilated improved pit latrine (vip),no,yes,68.0,0,0,1
7345,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,8.0,pit latrine without slab/open pit,no,yes,26.0,2,1,7
7346,35-39,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,pit latrine without slab/open pit,no,yes,39.0,2,2,9
7347,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,pit latrine without slab/open pit,no,no,39.0,1,0,4
7348,35-39,rural,6,protected spring,5.0,pit latrine with slab,no,yes,56.0,0,0,2
7349,15-19,rural,6,protected spring,5.0,pit latrine with slab,no,yes,56.0,0,0,1
7350,40-44,rural,5,unprotected spring,12.0,pit latrine without slab/open pit,no,yes,40.0,4,0,7
7351,35-39,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,40.0,1,0,7
7352,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,40.0,0,0,1
7353,30-34,rural,4,unprotected spring,12.0,pit latrine without slab/open pit,no,no,59.0,2,0,6
7354,30-34,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,ventilated improved pit latrine (vip),no,yes,36.0,0,1,6
7355,40-44,rural,6,unprotected spring,10.0,pit latrine with slab,no,yes,50.0,0,0,8
7356,15-19,rural,6,unprotected spring,10.0,pit latrine with slab,no,yes,50.0,0,0,0
7357,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,69.0,0,0,1
7358,25-29,rural,9,unprotected spring,10.0,pit latrine without slab/open pit,no,yes,43.0,0,0,0
7359,20-24,rural,5,unprotected spring,15.0,pit latrine without slab/open pit,no,no,25.0,0,0,1
7360,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,yes,28.0,1,1,5
7361,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,yes,28.0,0,0,3
7362,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,pit latrine without slab/open pit,no,no,60.0,0,1,4
7363,25-29,rural,4,cart with small tank,25.0,ventilated improved pit latrine (vip),no,yes,35.0,0,1,4
7364,45-49,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,ventilated improved pit latrine (vip),no,yes,54.0,0,0,8
7365,35-39,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,110.0,pit latrine without slab/open pit,no,yes,36.0,0,0,5
7366,15-19,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,110.0,pit latrine without slab/open pit,no,yes,36.0,0,0,0
7367,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,16.0,pit latrine without slab/open pit,no,no,55.0,0,0,4
7368,35-39,rural,5,unprotected spring,10.0,pit latrine without slab/open pit,no,yes,34.0,1,2,7
7369,25-29,rural,13,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,pit latrine without slab/open pit,no,yes,60.0,0,1,3
7370,15-19,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,pit latrine without slab/open pit,no,yes,50.0,0,0,0
7371,30-34,rural,6,unprotected spring,10.0,pit latrine without slab/open pit,no,yes,41.0,2,1,8
7372,35-39,rural,6,unprotected spring,5.0,pit latrine without slab/open pit,no,yes,42.0,0,0,6
7373,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,no facility/bush/field,no,no,55.0,0,0,2
7374,25-29,rural,3,unprotected spring,15.0,pit latrine without slab/open pit,no,no,27.0,0,0,1
7375,45-49,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,ventilated improved pit latrine (vip),no,yes,75.0,0,0,7
7376,25-29,rural,4,unprotected spring,20.0,pit latrine without slab/open pit,no,no,39.0,0,0,2
7377,30-34,rural,8,unprotected spring,15.0,pit latrine without slab/open pit,no,no,53.0,0,1,7
7378,40-44,rural,8,unprotected spring,15.0,pit latrine without slab/open pit,no,no,53.0,0,1,6
7379,30-34,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,ventilated improved pit latrine (vip),no,yes,38.0,1,1,6
7380,35-39,rural,7,unprotected spring,30.0,no facility/bush/field,no,yes,43.0,0,1,7
7381,45-49,rural,6,unprotected spring,15.0,pit latrine without slab/open pit,no,no,57.0,0,0,2
7382,45-49,rural,6,unprotected spring,15.0,pit latrine without slab/open pit,no,no,57.0,1,0,2
7383,20-24,rural,6,unprotected spring,15.0,pit latrine without slab/open pit,no,no,57.0,0,0,2
7384,35-39,rural,6,unprotected spring,25.0,pit latrine without slab/open pit,no,yes,45.0,1,3,10
7385,40-44,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,48.0,0,0,5
7386,20-24,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,48.0,0,0,0
7387,35-39,rural,10,unprotected spring,10.0,pit latrine without slab/open pit,no,yes,36.0,1,1,8
7388,45-49,rural,6,,45.0,no facility/bush/field,no,no,67.0,2,0,7
7389,25-29,rural,5,unprotected spring,15.0,pit latrine without slab/open pit,no,no,62.0,0,0,4
7390,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,56.0,0,1,7
7391,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,56.0,0,0,1
7392,35-39,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,ventilated improved pit latrine (vip),no,yes,40.0,0,0,5
7393,15-19,rural,6,unprotected spring,15.0,pit latrine without slab/open pit,no,yes,45.0,0,0,0
7394,30-34,rural,6,unprotected spring,15.0,pit latrine without slab/open pit,no,yes,45.0,1,0,5
7395,30-34,rural,4,unprotected spring,15.0,pit latrine without slab/open pit,no,no,33.0,1,1,4
7396,35-39,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,78.0,0,0,3
7397,40-44,rural,8,,50.0,no facility/bush/field,no,no,52.0,3,1,9
7398,30-34,rural,8,,50.0,no facility/bush/field,no,no,52.0,0,0,2
7399,20-24,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,71.0,0,0,0
7400,20-24,rural,5,unprotected spring,20.0,pit latrine without slab/open pit,no,no,25.0,0,0,3
7401,15-19,rural,6,unprotected spring,30.0,pit latrine without slab/open pit,no,no,35.0,0,0,0
7402,35-39,rural,6,unprotected spring,20.0,no facility/bush/field,no,no,28.0,0,1,5
7403,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,45.0,0,0,5
7404,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,30.0,0,1,2
7405,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,no,45.0,1,0,4
7406,20-24,rural,4,protected well,60.0,pit latrine without slab/open pit,no,yes,54.0,0,0,2
7407,45-49,rural,6,protected well,10.0,pit latrine without slab/open pit,no,no,45.0,0,1,5
7408,25-29,rural,6,unprotected spring,60.0,no facility/bush/field,no,no,40.0,0,0,4
7409,30-34,rural,10,protected well,10.0,no facility/bush/field,no,no,66.0,2,1,6
7410,25-29,rural,3,protected well,20.0,pit latrine without slab/open pit,no,no,41.0,0,0,1
7411,35-39,rural,8,public tap/standpipe,0.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,1
7412,30-34,rural,6,public tap/standpipe,0.0,ventilated improved pit latrine (vip),no,yes,34.0,0,0,5
7413,35-39,rural,6,unprotected well,0.0,pit latrine without slab/open pit,no,no,64.0,0,0,4
7414,30-34,rural,12,public tap/standpipe,20.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,4
7415,25-29,rural,12,public tap/standpipe,20.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,2
7416,20-24,rural,12,public tap/standpipe,20.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,0
7417,30-34,rural,7,public tap/standpipe,0.0,pit latrine without slab/open pit,no,yes,45.0,0,0,5
7418,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,35.0,0,0,4
7419,40-44,rural,5,public tap/standpipe,0.0,ventilated improved pit latrine (vip),no,yes,50.0,0,3,8
7420,15-19,rural,4,protected well,20.0,pit latrine without slab/open pit,no,yes,41.0,0,0,1
7421,20-24,rural,8,public tap/standpipe,20.0,pit latrine without slab/open pit,no,no,70.0,0,0,1
7422,30-34,rural,4,protected well,40.0,pit latrine without slab/open pit,no,yes,40.0,0,0,2
7423,30-34,rural,3,unprotected well,10.0,pit latrine without slab/open pit,no,yes,50.0,2,0,6
7424,35-39,rural,9,protected well,10.0,no facility/bush/field,no,no,37.0,0,0,5
7425,15-19,rural,9,protected well,10.0,no facility/bush/field,no,no,37.0,0,0,0
7426,45-49,rural,4,unprotected spring,15.0,ventilated improved pit latrine (vip),no,no,53.0,0,0,2
7427,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,pit latrine without slab/open pit,no,no,35.0,0,0,1
7428,45-49,rural,8,protected well,15.0,pit latrine with slab,no,yes,56.0,3,0,11
7429,15-19,rural,8,protected well,15.0,pit latrine with slab,no,yes,56.0,0,0,0
7430,35-39,rural,5,protected spring,15.0,ventilated improved pit latrine (vip),no,no,48.0,0,1,5
7431,15-19,rural,5,protected spring,15.0,ventilated improved pit latrine (vip),no,no,48.0,0,0,0
7432,40-44,rural,10,protected well,5.0,pit latrine without slab/open pit,no,yes,88.0,0,0,3
7433,45-49,urban,4,protected well,15.0,ventilated improved pit latrine (vip),no,yes,48.0,0,5,8
7434,35-39,urban,4,protected well,0.0,hanging toilet/latrine,no,no,35.0,0,0,2
7435,45-49,urban,5,protected well,30.0,flush to pit latrine,no,yes,68.0,1,2,6
7436,40-44,urban,12,tube well or borehole,20.0,ventilated improved pit latrine (vip),yes,yes,52.0,1,0,5
7437,15-19,urban,12,tube well or borehole,20.0,ventilated improved pit latrine (vip),yes,yes,52.0,0,0,0
7438,20-24,urban,2,protected well,20.0,flush to pit latrine,no,yes,23.0,0,0,0
7439,20-24,urban,8,protected well,0.0,pit latrine with slab,yes,no,52.0,0,0,0
7440,20-24,urban,8,protected well,0.0,pit latrine with slab,yes,no,52.0,0,0,0
7441,15-19,urban,8,protected well,0.0,pit latrine with slab,yes,no,52.0,0,0,0
7442,40-44,urban,6,protected well,10.0,hanging toilet/latrine,no,no,40.0,0,2,6
7443,25-29,urban,7,protected well,15.0,ventilated improved pit latrine (vip),yes,yes,38.0,0,0,3
7444,20-24,urban,8,protected well,20.0,pit latrine with slab,no,yes,72.0,0,0,1
7445,20-24,urban,8,protected well,20.0,pit latrine with slab,no,yes,72.0,0,0,1
7446,15-19,urban,5,protected well,45.0,hanging toilet/latrine,yes,yes,51.0,0,0,0
7447,25-29,urban,5,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,2
7448,15-19,urban,9,protected well,20.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,0
7449,15-19,urban,9,protected well,20.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,0
7450,15-19,urban,9,protected well,20.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,0
7451,40-44,urban,6,protected well,30.0,ventilated improved pit latrine (vip),no,yes,42.0,1,1,4
7452,40-44,urban,7,protected well,10.0,pit latrine with slab,no,yes,45.0,1,1,7
7453,40-44,urban,10,protected well,45.0,hanging toilet/latrine,yes,yes,42.0,0,0,5
7454,15-19,urban,10,protected well,45.0,hanging toilet/latrine,yes,yes,42.0,0,0,0
7455,20-24,urban,6,protected well,15.0,ventilated improved pit latrine (vip),yes,no,24.0,0,0,3
7456,30-34,urban,2,protected well,30.0,flush to pit latrine,no,yes,32.0,0,0,3
7457,15-19,urban,9,protected well,0.0,ventilated improved pit latrine (vip),no,no,70.0,0,0,0
7458,15-19,urban,9,protected well,0.0,ventilated improved pit latrine (vip),no,no,70.0,0,0,1
7459,15-19,urban,6,protected well,10.0,pit latrine with slab,no,no,19.0,0,0,1
7460,20-24,urban,4,protected well,20.0,hanging toilet/latrine,no,yes,23.0,0,0,0
7461,20-24,urban,4,protected well,20.0,hanging toilet/latrine,no,yes,23.0,0,0,1
7462,20-24,urban,6,protected well,0.0,flush to pit latrine,yes,yes,24.0,0,0,3
7463,15-19,urban,8,protected well,0.0,hanging toilet/latrine,no,yes,52.0,0,0,0
7464,35-39,urban,7,protected well,0.0,pit latrine with slab,yes,yes,38.0,0,0,4
7465,15-19,urban,7,protected well,0.0,pit latrine with slab,yes,yes,38.0,0,0,1
7466,35-39,urban,5,public tap/standpipe,30.0,pit latrine with slab,yes,yes,39.0,0,0,4
7467,15-19,rural,7,tube well or borehole,20.0,pit latrine without slab/open pit,no,yes,86.0,0,0,0
7468,45-49,rural,7,tube well or borehole,10.0,ventilated improved pit latrine (vip),no,no,90.0,0,1,6
7469,15-19,rural,7,tube well or borehole,10.0,ventilated improved pit latrine (vip),no,no,90.0,0,0,0
7470,30-34,rural,7,protected well,20.0,pit latrine without slab/open pit,no,no,48.0,0,0,5
7471,30-34,rural,7,tube well or borehole,50.0,pit latrine with slab,no,yes,40.0,0,0,7
7472,30-34,rural,2,protected well,5.0,pit latrine without slab/open pit,no,yes,34.0,2,1,4
7473,45-49,rural,14,tube well or borehole,15.0,pit latrine with slab,no,yes,73.0,1,4,10
7474,30-34,rural,14,tube well or borehole,15.0,pit latrine with slab,no,yes,73.0,0,0,4
7475,30-34,rural,14,tube well or borehole,15.0,pit latrine with slab,no,yes,73.0,0,0,1
7476,35-39,rural,16,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,yes,70.0,0,1,6
7477,45-49,rural,16,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,yes,70.0,4,0,8
7478,45-49,rural,16,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,yes,70.0,0,0,0
7479,20-24,rural,16,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,yes,70.0,0,0,0
7480,15-19,rural,16,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,yes,70.0,0,0,1
7481,40-44,rural,8,tube well or borehole,20.0,ventilated improved pit latrine (vip),no,yes,45.0,2,0,8
7482,15-19,rural,8,tube well or borehole,20.0,ventilated improved pit latrine (vip),no,yes,45.0,0,0,0
7483,15-19,rural,8,tube well or borehole,20.0,ventilated improved pit latrine (vip),no,yes,45.0,0,0,0
7484,20-24,rural,5,public tap/standpipe,10.0,pit latrine without slab/open pit,no,yes,35.0,0,0,0
